QU_ID;QUESTION;ANSW_A;ANSW_B;ANSW_C;ANSW_D;ANSW_E;;;;;;;;;;;
QUESTION 18;Which of the following entries in /etc/syslog.conf writes all mail related events to the file /var/log/maillog and sends all critical events to the remote;server logger.example.com?;A. mail.* mail,crit /var/log/maillog @logger.example.org;B. mail.* /var/log/maillog mail.crit syslog://logger.example.org;C. mail   /var/log/maillog mail.crit @logger.example.org;D. mail.* mail.crit /var/log/maillog @logger.example.org;E. mail * mail crit /var/log/maillog @logger.example.org; ;;;;;;;;;
QUESTION 19;Which of the following protocols is related to the term open relay?;A. SMTP;B. POP3;C. NTP;D. IMAP;E. LDAP;;;;;;;;;;;
QUESTION 20;Which of the following comparison operators for test work on elements in the file system? (Choose two.);A. -z;B. -eq;C. -d;D. -f;E. -lt; ;;;;;;;;;;
QUESTION 21;Which of the following configuration files should be modified to globally set shell variables for all users?;A. /etc/profile;B. /etc/bashrc;C. ~/.bash_profile;D. /etc/.bashrc;E. /etc/shellenv; ;;;;;;;;;;
QUESTION 22;What output does the command seq 10 produce?;A. A continuous stream of numbers increasing in increments of 10 until the command is stopped.;B. It creates no output because a second parameter is missing.;C. The number 0 through 9 with one number per line.;D. The number 10 to standard output.;E. The numbers 1 through 10 with one number per line.; ;;;;;;;;;;
QUESTION 23;Which of the following commands can be used to limit the amount of memory a user may use?;A. umask;B. usermod;C. passwd;D. ulimit;E. chage; ;;;;;;;;;;
QUESTION 24;What is a purpose of an SSH host key?;A. It must be sent by any SSH client in addition to a user key in order to identify the client’s host.;B. It is root key by which all user SSH keys must be signed.;C. It provides the server’s identity information to connecting SSH clients.;D. It authenticates any user that logs into a remote machine from the key’s host.;E. It is used by system services like cron, syslog or a backup job to automatically connect to remote hosts.; ;;;;;;;;;;
QUESTION 25;Given the following excerpt of the sudo configuration:jane ANY=NOPASSWD: /bin/kill, /bin/id, PASSWD: /sbin/fdisk Which of the following statements are true? (Choose three.);A. Jane can run /bin/id only after specifying her password.;B. Jane can run /sbin/fdisk after specifying root’s password.;C. Jane can run /sbin/fdisk after specifying her password.;D. Jane can run /bin/kill without specifying a password.;E. Jane can run /bin/id without specifying her password.;;;;;;;;;;;
QUESTION 26;Which configuration file contains the default options for SSH clients?;A. /etc/ssh/sshd_config;B. /etc/ssh/ssh;C. /etc/ssh/ssh_config;D. /etc/ssh/client;E. /etc/ssh/ssh_client;;;;;;;;;;;
QUESTION 27;Depending on a system’s configuration, which of the following files can be used to enable and disable network services running on this host?;A. /etc/profile;B. /etc/xinetd.conf;C. /etc/ports;D. /etc/services;E. /etc/host.conf; ;;;;;;;;;;
QUESTION 28;Which of the following commands preloads and manages existing SSH keys that are used for automatic authentication while logging in to other machines using SSH?;A. sshd;B. ssh-keyring;C. ssh-keygen;D. ssh-pki;E. ssh-agent; ;;;;;;;;;;
QUESTION 1;Which of the following commands should be executed when starting a login shell in order to change the language of messages for an internationalized program to Portuguese (pt)?;A. export LANGUAGE=“pt”;B. export LC_MESSAGES=“pt”;C. export UI_MESSAGES=“pt”;D. export MESSAGE=“pt”;E. export ALL_MESSAGES=“pt”;;;;;;;;;;;
QUESTION 2;Which of the following files assigns a user to its primary group?;A. /etc/pgroup;B. /etc/shadow;C. /etc/passwd;D. /etc/group;E. /etc/gshadow;;;;;;; ;;;;
QUESTION;What information is provided by the echo $$ command?;A. The process ID of the current shell.;B. The process ID for the following command.;C. The process ID of the last command executed.;D. The process ID of the last command which has been placed in the background.;E. The process ID of the echo command.;;;;;;;;;;;
QUESTION 4;Which command makes the shell variable named VARIABLE visible to subshells?;A. export $VARIABLE;B. env VARIABLE;C. set $VARIABLE;D. set VARIABLE;E. export VARIABLE; ;;;;;;;;;;
QUESTION 7;Which of the following commands can identify the PID or a process which opened a TCP port?;A. ptrace;B. strace;C. debug;D. lsof;E. nessus;;;;;;;;;;;
QUESTION 8;FILL BLANK;When using X11 forwarding in SSH (das heisst, wenn Du ssh -X gemacht hast), what environment variable is automatically set in the remote shell in order to help applications to connect to the correct X11 server? (Specify only the environment variable without any additional commands or values.); ;;;;;;;;;;;;;;
QUESTION 10;Which of the following features are provided by SPICE? (Choose two.);A. Connecting local USB devices to remote applications.;B. Accessing graphical applications on a remote host.;C. Replacing Xorg as local X11 server.;D. Downloading and locally installing applications from a remote machine.;E. Uploading and running a binary program on a remote machine.; ;;;;;;;;;;
QUESTION 11;Where is the systemd journal stored?;A. /var/jlog/ and /var/jlogd/;B. /proc/log/ and /proc/klog/;C. /run/log/journal/ or /var/log/journal/;D. /var/log/syslog.bin or /var/log/syslog.jrn;E. /etc/systemd/journal/ or /usr/lib/systemd/journal/; ;;;;;;;;;;
QUESTION 12;Which of the following is true regarding the command sendmail?;A. With any MTA, the sendmail command must be run periodically by the cron daemon.;B. When using systemd, sendmail is an alias to relayctl.;C. The sendmail command prints the MTA’s queue history of which mails have been sent successfully.;D. It is only available when the sendmail MTA is installed.;E. All common MTAs, including Postfix and Exim, provide a sendmail command.; ;;;;;;;;;;
QUESTION 13;Which file inside the CUPS configuration directory contains the settings of the printers?;A. cups-devices.conf;B. snmp.conf;C. printers.conf;D. printcap.conf;E. cupsd.conf; ;;;;;;;;;;
QUESTION 14;Which of the following parameters are used for journalctl to limit the time frame of the output? (Choose two.);A. --since=;B. --from=;C. --until=;D. --upto=;E. --date=; ;;;;;;;;;;
QUESTION 15;What is true regarding the file ~/.forward?;A. When configured correctly ~/.forward can be used to forward each incoming mail to one or more other recipients.;B. After editing ~/.forward the user must run newaliases to make the mail server aware of the changes.;C. Using ~/.forward, root may configure any email address whereas all other users may configure only their own addresses.;D. As ~/.forward is owned by the MTA and not writable by the user, it must be edited using the editaliases command.;E. By default, only ~/.forward files of users in the group mailq are processed while all other user’s ~/.forward files are ignored.; ;;;;;;;;;;
QUESTION 16;Which of the following commands display a list of jobs in the print queue? (Choose two.);A. cups --list;B. lprm -l;C. lpstat;D. lpr -q;E. lpq; ;;;;;;;;;;
QUESTION 17;On a system using systemd-journald, which of the following commands add the message Howdy to the system log? (Choose two.);A. append Howdy;B. logger Howdy;C. systemd-cat echo Howdy;D. echo Howdy > /dev/journal;E. journalctl add Howdy; ;;;;;;;;;;
QUESTION 18;Which of the following options in the chrony configuration file define remote time sources? (Choose two.);A. source;B. clock;C. remote;D. pool;E. server; ;;;;;;;;;;
QUESTION 19;FILL BLANK;Which command is used to sync the hardware clock to the system clock? (Specify only the command without any path or parameters.); ;;;;;;;;;;;;;;
QUESTION 20;Which of the following situations is observed and corrected by an NTP client?;A. The skew in time between the system clock and the computer’s hardware clock.;B. The physical location and the timezone configuration.;C. Changes in the time zone of the current computer’s location.;D. Adjustment needed to support Daylight Saving Time.;E. The skew in time between the system clock and the reference clock.;;;;;;;;;;;
QUESTION 21;If an alias ls exists, which of the following commands updates the alias to point to the command ls -l instead of the alias’s current target?;A. set ls=’ls -l’;B. alias ls=’ls -l’;C. alias --force ls=’ls -l’;D. alias --update ls ls=’ls -l’;E. realias ls=’ls -l’; ;;;;;;;;;;
QUESTION 22;Which of the following commands puts the output of the command date into the shell variable mydate?;A. mydate=”date”;B. mydate=”exec date”;C. mydate=”$((date))”;D. mydate=”$(date)”;E. mydate=”${date}”; ;;;;;;;;;;
QUESTION 23;Which of the following files is not read directly by a Bash login shell?;A. ~/.bashrc;B. ~/.bash_profile;C. ~/.bash_login;D. ~/.profile;E. /etc/profile;;;;;;;;;;;
QUESTION 24;What is true about the file .profile in a user’s home directory?;A. It must be executable.;B. It must call the binary of the login shell.;C. It must use a valid shell script syntax.;D. It must start with a shebang.;E. It must be readable for its owner only.; ;;;;;;;;;;
QUESTION 25;How does the ping command work by default?;A. Is sends an ICMP Echo Request to a remote host and waits to receive an ICMP Echo Response in return.;B. It sends an ARP request to a remote host and waits to receive an ARP response in return.;C. It sends a TCP SYN packet to a remote host and waits to receive an TCP ACK response in return.;D. Is sends a broadcast packet to all hosts on the net and waits to receive, among others, a response from the target system.;E. It sends a UDP packet to port 0 of the remote host and waits to receive a UDP error response in return.;; ;;;;;;;;;
QUESTION 26;Which of the following commands display the number of bytes transmitted and received via the eth0 network interface? (Choose two.);A. route -v via eth0;B. ip stats show dev eth0;C. netstat -s -i eth0;D. ifconfig eth0;E. ip -s link show eth0;;;;;;;;;;;
QUESTION 27;Which of the following commands will delete the default gateway from the system’s IP routing table? (Choose two.);A. ifconfig unset default;B. route del default;C. ip route del default;D. netstat -r default;E. sysctl ipv4.default_gw=0; ;;;;;;;;;;
QUESTION 28;Which standardized TCP port is used by HTTPS services?;A. 25;B. 80;C. 8080;D. 443;E. 636; ;;;;;;;;;;
QUESTION 29;Which of the following environment variables can be defined in locale.conf? (Choose two.);A. LC_ALL;B. LC_USERNAME;C. LC_UTF8;D. LC_GEOGRAPHY;E. LC_TIME;LC steht hier für LoCale d.h. auf Lokalisierungen (Spracheinstellungen, länderspezifische Konfigurationen (Zeitzone, Währungszeichen €, $ .., Papierformat).; ;;;;;;;;;
QUESTION 30;Which of the following commands sets the system’s time zone to the Canadian Eastern Time?;A. localegen -t -f /usr/share/zoneinfo/Canada/Eastern > /etc/locate.tz;B. tzconf /etc/localtime;C. sysctl -w clock.tz=’Canada/Eastern’;D. modprobe tz_ca_est;E. ln -sf /usr/share/zoneinfo/Canada/Eastern /etc/localtime; ;;;;;;;;;;
QUESTION 31;Which file contains the data of the last change of a user’s password?;A. /etc/gshadow;B. /etc/passwd;C. /etc/pwdlog;D. /var/log/shadow;E. /etc/shadow;;;;;;;;;;;
QUESTION 32;Which of the following fields can be found in the /etc/group file? (Choose two.);A. The home directory of the group.;B. The list of users that belong to the group.;C. The name of the group.;D. The default group ACL.;E. The description of the group.; ;;;;;;;;;;
QUESTION 33;Which of the following sections exists in a systemd timer unit?;A. [Events];B. [Timer];C. [cron];D. [Schedule];E. [Trigger]; ;;;;;;;;;;
QUESTION 34;Which of the following IPv4 networks are reserved by IANA for private address assignment and private routing? (Choose three.);A. 10.0.0.0/8;B. 127.0.0.0/8;C. 169.255.0.0/16;D. 172.16.0.0/12;E. 192.168.0.0/16;;;;;;;;;;;
QUESTION 5;Which if the following tools, used for DNS debugging, reports not only the response from the name server but also details about the query?;A. dnsq;B. hostname;C. dig;D. dnslookup;E. zoneinfo; ;;;;;;;;;;
QUESTION 6; Which of the following statements is valid in the file /etc/nsswitch.conf?;A. multi on;B. 192.168.168.4 dns-server;C. namespaces: net mount procs;D. include /etc/nsswitch.d/;E. hosts: files dns; ;;;;;;;;;;
QUESTION 7; What is true about the Hop Limit field in the IPv6 header?;A. The field is not changed during the transport of a package.;B. The field is transmitted within a hop-by-hop extension header.;C. Each router forwarding the packet increases the field’s value.;D. Each router forwarding the packet decreases the field’s value.;E. For multicast packages, the field’s value is always 1.;;;;;;;;;;;
QUESTION 8;Which of the following statements is true if the UID of a regular user is identical to the GID of a group?;A. UID have precedence over GIDs, therefore the user is available while the group doesn’t.;B. The user as well as the group are not available to avoid ambiguity due to the ID conflict.;C. UIDs and GIDs are independent of each other, therefore the user as well as the group are still available.;D. The user is the only member of the group, even if the group configuration contains other members.;E. GIDs have precedence over UIDs, therefore the group is available while the user isn’t.;;;;;;;;;;;
QUESTION 9 ;Which of the following steps prevents a user from obtaining an interactive login session?;A. Setting the UID for the user to 0.;B. Running the command chsh -s /bin/false with the user name.;C. Removing the user from the group staff.;D. Adding the user to /etc/noaccess.;E. Creating a .nologin file in the user’s home directory.; ;;;;;;;;;;
QUESTION 11;Which of the following statements about systemd-journald are true?;(Choose three.);A. It is incompatible with syslog and cannot be installed on a system using regular syslog.;B. It only processes messages of systemd and not messages of any other tools.;C. It can pass log messages to syslog for further processing.;D. It maintains metadata such as _UID or _PID for each message.;E. It supports syslog facilities such as kern, user, and auth.;;;;;;;;;;
QUESTION 12;FILL BLANK;Which command must be run after adding a new email alias to the configuration in order to make this change effective? (Specify the command without any path but including all required parameters.);;;;;;;;;;;;;;;
QUESTION 13 ;Which of the following commands is used to rotate, compress, and mail system logs?;A. logrotate;B. striplog;C. syslogd –-rotate;D. rotatelog;E. logger;;;;;;;;;;;
QUESTION 17;Which of the following commands displays all environment and shell variables?;A. getargs;B. lsenv;C. ls;D. env;E. lsshell;;;;;;;;;;;
QUESTION 19;Which configuration file contains the default options for SSH clients?;A. /etc/ssh/sshd_config;B. /etc/ssh/ssh;C. /etc/ssh/ssh_config;D. /etc/ssh/client;E. /etc/ssh/ssh_client;;;;;;;;;;;
QUESTION 20;FILL BLANK;The presence of what file will temporarily prevent all users except root from logging into a system? (Specify the full name of the file, including path.);;;;;;;;;;;;;;;
QUESTION 21;On a machine running several X servers, how do programs identify the different instances of the X11 server?;A. By a fixed UUID that is defined in the X11 configuration file.;B. By a display name like :1.;C. By the name of the user that runs the X server like x11:bob.;D. By a device name like /dev/X11/xservers/1.;E. By a unique IPv6 address from the fe80::/64 subnet.;;;;;;;;;;;
QUESTION 1;FILL BLANK -;Which file is processed by newaliases? (Specify the full name of the file, including path.);;;;;;;;;;;;;;;
QUESTION 2;Which of the following are syslog facilities? (Choose two.);A. local5;B. accounting;C. mail;D. postmaster;E. remote;;;;;;;;;;;
QUESTION 3;Which of the following commands configure network interfaces based on the system 's existing distribution-specific configuration files? (Choose two.);A. ifconf;B. ifdown;C. ifpause;D. ifstart;E. ifup;;;;;;;;;;;
QUESTION;On a Linux workstation, the route command takes a long time before printing out the routing table. Which of the following errors does that indicate?;A. The local routing information may be corrupted and must be re-validated using a routing protocol.;B. One of the routers in the routing table is not available which causes the automatic router failure detection mechanism (ARF-D) to wait for a timeout ;C. There may accidentally be more than one default router in which case a default router election has to be done on the network in order to choose one router as the default.;D. The Linux Kernel Routing Daemon (LKRD) is not running and should be started using its init script or systemd unit.;E. DNS resolution may not be working as route by default tries to resolve names of routers and destinations and may run into a timeout.;;;;;;;;;;;
QUESTION 5;Which of the following can the chage command NOT change?;A. The number of days since January 1, 1970 after which the user's account will no longer be accessible.;B. The number of days since January 1, 1970 after which the password can change.;C. The number of days since January 1, 1970 since the password was last changed.;D. The maximum number of days during which a password is valid.;E. The number of days of inactivity after a password has expired before the account is locked.;;;;;;;;;;;
QUESTION;What is the purpose of the command mailq?;A. It fetches new emails from a remote server using POP3 or IMAP.;B. It is a multi-user mailing list manager.;C. It is a proprietary tool contained only in the qmail MTA;D. It queries the mail queue of the local MTA;E. It is a command-line based tool for reading and writing emails.;;;;;;;;;;;
QUESTION 7;Which commands can you use to change a user's account aging information? (Choose THREE correct answers.);A. usermod;B. passwd;C. chattr;D. chage;E. chsh;;;;;;;;;;;
QUESTION 9;"You need to pause the CUPS printer HPLaserjet4, and you want to cancel all print jobs with a message, ""hello"". Which command will do this?";A. cupsreject -c -r hello HPLaserjet4;B. cupsreject -p -m hello HPLaserjet4;C. cupsdisable -c -r hello HPLaserjet4;D. cupsdisable -p -m hello HPLaserjet4;;;;;;;;;;;;
QUESTION 10;When trying to unmount a device it is reported as being busy. Which of the following commands could be used to determine which process is causing this?;A. debug;B. lsof;C. nessus;D. strace;E. traceroute;;;;;;;;;;;
QUESTION 11;Which command is used to set restrictions on the size of a core file that is created for a user when a program crashes?;A. core;B. edquota;C. ulimit;D. quota;;;;;;;;;;;;
QUESTION 12;Which command will set the local machine's timezone to UTC?;A. cat UTC > /etc/timezone;B. ln -s /usr/share/zoneinfo/UTC /etc/localtime;C. date --timezone=UTC;D. mv /usr/timezone/UTC /etc;;;;;;;;;;;;
QUESTION 14;What benefit does an alias in bash provide?;A. It provides faster lookups for commands in the system directory.;B. It creates a local copy of a file from another directory.;C. It hides what command you are running from others.;D. It allows a string to be substituted for the first word of a simple command.;;;;;;;;;;;;
QUESTION 15;Which of the following are commonly used Mail Transfer Agent (MTA) applications? (Choose THREE correct answers.);A. Postfix;B. Procmail;C. Sendmail;D. Exim;E. SMTPd;;;;;;;;;;;
QUESTION 16;What is pool.ntp.org?;A. A deprecated feature for maintaining system time in the Linux kernel;B. A website which provides binary and source packages for the OpenNTPD project;C. A virtual cluster of various timeservers;D. A community website used to discuss the localization of Linux;;;;;;;;;;;;
QUESTION;Which of the following commands shows the current color depth of the X Server?;A. xcd;B. xcdepth;C. xwininfo;D. xcolordepth;E. cat /etc/X11;;;;;;;;;;;
QUESTION 17;Which of the following programs uses the hosts.allow file to perform its main task of checking for access control restrictions to system services?;A. tcpd;B. inetd;C. fingerd;D. mountd;E. xinetd;;;;;;;;;;;
QUESTION 18;Please specify the top directory containing the configuration files for the CUPS printing system. (Specify the full path to the directory.);;;;;;;;;;;;;;;;
QUESTION 20;Where are user specific crontabs stored?;A. In the database file /etc/crontab.db which is shared by all users.;B. As individual per-user files within /var/spool/cron.;C. As individual per-user files in /etc/cron.user.d.;D. In the .crontab file in the user's home directory.;E. In the file /var/cron/user-crontab which is shared by all users.;;;;;;;;;;;
QUESTION 21;Which of the following information is stored in /etc/shadow for each user?;A.  The timestamp of the user’s last login;B. The user’s private SSH keys;C.  The hashed password of the user;D.  The numerical user ID (UID);;;;;;;;;;;;
QUESTION 23;Which of the following is a legacy program provided by CUPS for sending files to the printer queues on the command line?;A. lpd;B. lpp;C. lpq;D. lpr;;;;;;;;;;;;
QUESTION 25;What is the conventional purpose of Linux UIDs that are lower than 100?;A. They are reserved for super user accounts.;B. They are reserved for the system admin accounts.;C. They are reserved for system accounts.;D. They are unused, aside from 0, because they are targets of exploits.;E. They are used to match with GIDs in grouping users.;;;;;;;;;;;
QUESTION 27;Which of the following programs can be used to determine the routing path to a given destination?;A. dig;B. netstat;C. ping;D. route;E. traceroute;;;;;;;;;;;
QUESTION 28;Which of the following commands preloads and manages keys that are used for automatic authentication while logging in to other machines using SSH?;A. sshd;B. ssh-agent;C. ssh-keygen;D. ssh-add;;;;;;;;;;;;
QUESTION 29;Which configuration file would be edited to change the default options for outbound SSH sessions?;A. /etc/ssh/sshd_config;B. /etc/ssh/ssh;C. /etc/ssh/client;D. /etc/ssh/ssh_config;E. /etc/ssh/ssh_client;;;;;;;;;;;
QUESTION XX not-official;Which configuration file would be edited to change the default options for inbound SSH sessions?;A. /etc/ssh/sshd_config;B. /etc/ssh/ssh;C. /etc/ssh/ssh_server;D. /etc/ssh/ssh_config;E. /etc/ssh/ssh_client;;;;;;;;;;;
QUESTION 31;Which of the following lines is an example of a correct setting for the DISPLAY environment variable?;A. hostname:displayname;B. hostname:displaynumber;C. hostname/displayname;D. hostname/displaynumber;E. hostname;;;;;;;;;;;
QUESTION 32;What is the purpose of the iconv command?;A. It converts bitmap images from one format to another such as PNG to JPEG.;B. It verifies that the root directory tree complies to all conventions from the Filesystem Hierarchy Standard (FHS).;C. It displays additional meta information from icon files ending in .ico.;D. It changes the mode of an inode in the ext4 file system.;E. It converts files from one character encoding to another.;;;;;;;;;;;
QUESTION 34;Which of the following is true about IPv6?;A. With IPv6, the TCP port numbers of most services have changed.;B. IPv6 no longer supports broadcast addresses.;C. IPv4 addresses can be used without any change with IPv6.;D. IPv6 no longer supports multicast addresses.;E. For IPv6, UDP and TCP have been replaced by the Rapid Transmission Protocol RTP.;;;;;;;;;;;
QUESTION 35;Of the ways listed, which is the best method to temporarily suspend a user's ability to interactively login?;A. Use passwd -d username to give the user an empty password.;B. Use chage to expire the user account.;C. Change the user's password.;D. Add the command exit to the user's .login file.;;;;;;;;;;;;
QUESTION 36;What is true about the file /etc/localtime?;A. It is a plain text file containing a string such as Europe/Berlin;B. It is created and maintained by the NTP service based on the location of the system's IP address.;C. It is a symlink to /sys/device/clock/ltime and always contains the current local time.;D. After changing this file, newtzconfig has to be run to make the changes effective.;E. It is either a symlink to or a copy of a timezone information file such as /usr/share/zoneinfo/Europe/ Berlin.;;;;;;;;;;;
QUESTION 37;What is the purpose of a screen reader?;A. It reads text displayed on the screen to blind or visually impaired people.;B. It reads the parameters of the attached monitors and creates an appropriate X11 configuration.;C. It displays lines and markers to help people use speed reading techniques.;D. It manages and displays files that contain e-books.;;;;;;;;;;;;
QUESTION 39;Which option in the chrony configuration file changes the initial interval of polls to a NTP server in order to speed up the initial synchronization?;A. iburst;B. quickstart;C. fast;D. fsync;E. flood;;;;;;;;;;;
QUESTION 40;FILL BLANK What command list the aliases defined in the current Bash shell? (Specify only the command without any path or parameters.);;;;;;;;;;;;;;;;
QUESTION;Which of the following commands lists all defined variables and functions within Bash?;A. env;B. set;C. env -a;D. echo $ENV;;;;;;;;;;;;
QUESTION 42;Which of the following commands shows all active systemd timers?;A. systemctl-timer show;B. timectl list;C. systemctl -t;D. systemctl list-timers;E. timeq;;;;;;;;;;;
QUESTION 43;Which of the following parameters are used for journalctl to limit the time frame of the output? (Choose TWO correct answers.);A. --from=;B. --since=;C. --until=;D. --upto=;E. --date=;;;;;;;;;;;
QUESTION 44;For accessibility assistance, which of the following programs is an on-screen keyboard?;A. xkb;B. atkb;C. GOK;D. xOSK;;;;;;;;;;;;
QUESTION 46;You are looking into a new script you received from your senior administrator. In the very first line you notice a #! followed by a file path. This indicates that:;A. The file at that location was used to make the script.;B. This script provides identical functionality as the file at that location.;C. This script will self-extract into a file at that location.;D. The program at that location will be used to process the script.;;;;;;;;;;;;
QUESTION 01. ;Which of the following configuration files does the logrotate program consult for its settings?;a) /etc/logrotate.conf;b) /usr/sbin/logrotate/logrotate.conf;c) /usr/src/logrotate/logrotate.conf;d) /etc/logrotate/.conf;e) ∼/.logrotate; ;;;;;;;;;;
QUESTION 02. ;Ordinary users report being unable to log onto a computer, but root has no problems doing so. What might you check to explain this situation?;a) A misbehaving syslogd daemon;b) A login process that's running as root;c) The presence of an /etc/nologin file;d) The presence of an SUID bit on /bin/login;e) Inappropriate use of shadow passwords; ;;;;;;;;;;
QUESTION 03. ;Which of the following summarizes the organization of the X configuration file?;a) The file contains multiple sections, one for each screen. Each section includes subsections for individual components (keyboard, video card, and so on).;b) Configuration options are entered in any order desired. Options relating to specific components (keyboard, video card, and so on) may be interspersed.;c) The file begins with a summary of individual screens. Configuration options are preceded by a code word indicating the screen to which they apply.;d) The file is broken into sections, one or more for each component (keyboard, video card, and so on). The file also has one or more sections that define how to combine the main sections.;e) The file is a rare binary configuration file that must be accessed using SQL database tools.; ;;;;;;;;;;
QUESTION 04. ;In what environment variable is the current working directory stored?;a) PATH;b) CWD;c) PWD;d) PRESENT;e) WORKING; ;;;;;;;;;;
QUESTION 05. ;Which of the following tasks are most likely to be handled by a cron job?;a) Starting an important server when the computer boots;b) Finding and deleting old temporary files;c) Scripting supervised account creation;d) Monitoring disk partition space status and emailing a report;e) Sending files to a printer in an orderly manner;; ;;;;;;;;;
QUESTION 06. ;How can you learn what programs are currently accessing the network on a Linux system?;a) Type ifconfig -p eth0.;b) Examine /proc/network/programs.;c) Type netstat -p.;d) Examine /etc/xinetd.conf.;e) Type dmesg | less.; ;;;;;;;;;;
QUESTION 07. ;What is an advantage of a font server?;a) It provides faster font displays than are otherwise possible.;b) It can simplify font maintenance on a network with many X servers.;c) It's the only means of providing TrueType support for XFree86 4.x.;d) It enables the computer to turn a bitmapped display into an ASCII text file.;e) It enables X to use font smoothing, which isn't possible with core fonts.; ;;;;;;;;;;
QUESTION 08. ;Which environment variable stores the format for the command prompt?;a) PROMPT;b) PSI;c) PAGER;d) PS1;e) None of these variables store the format for the command prompt.; ;;;;;;;;;;
QUESTION 09. ;For best SSH server security, how should you set the Protocol option in /etc/ssh/sshd_config?;a) Protocol 1;b) Protocol 2;c) Protocol 1, 2;d) Protocol 2, 1;e) Protocol *; ;;;;;;;;;;
